Cardinalidade;numero de Cks
1;16
2;85
3;34
4;78
5;184
 Total de tuplas criticas de UM: 398
Numero de combinacoes analisadas por cardinalidade
1; 99
2; 4851
3; 156849
4; 3764376
5; 71523144
Tempo total: 
285.207000 
Tempo total por cardinalidade: 
1; 0.000000
2; 0.000000
3; 0.392000
4; 10.743000
5; 274.072000
UM110;
UM105;
UM100;
UM86;
UM85;
UM76;
UM71;
UM68;
UM63;
UM35;
UM26;
UM12;
UM9;
UM8;
UM4;
UM1;
UM15;UM19;UM38;UM42;UM44;
UM15;UM19;UM38;UM42;UM43;
UM15;UM19;UM38;UM40;UM45;
UM15;UM19;UM38;UM40;UM44;
UM15;UM19;UM38;UM40;UM43;
UM15;UM19;UM37;UM38;UM45;
UM15;UM19;UM37;UM38;UM44;
UM15;UM19;UM37;UM38;UM43;
UM15;UM19;UM30;UM69;UM81;
UM15;UM19;UM30;UM69;UM77;
UM15;UM19;UM30;UM69;UM75;
UM15;UM19;UM30;UM69;UM70;
UM15;UM18;UM22;UM24;UM38;
UM15;UM18;UM22;UM24;UM30;
UM15;UM18;UM21;UM24;UM38;
UM15;UM18;UM21;UM24;UM30;
UM15;UM18;UM20;UM24;UM38;
UM15;UM18;UM20;UM24;UM30;
UM15;UM17;UM22;UM24;UM38;
UM15;UM17;UM22;UM24;UM30;
UM15;UM17;UM21;UM24;UM38;
UM15;UM17;UM21;UM24;UM30;
UM15;UM17;UM20;UM24;UM38;
UM15;UM17;UM20;UM24;UM30;
UM15;UM16;UM23;UM27;UM30;
UM15;UM16;UM23;UM25;UM30;
UM3;UM7;UM11;UM15;UM16;
UM3;UM7;UM11;UM14;UM16;
UM3;UM6;UM11;UM15;UM16;
UM3;UM6;UM11;UM14;UM16;
UM3;UM5;UM11;UM15;UM16;
UM3;UM5;UM11;UM14;UM16;
